,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DNAAF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
POLE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC1,11,3,20,12,5,5,14,0,14,9,0,5,4,5,10
KLHDC2,1,0,0,0,0,1,3,1,1,0,0,1,0,1,1
NEMF,3,30,20,0,3,1,0,0,3,3,0,0,2,2,2
ARF6,34,186,81,52,63,36,14,53,49,40,52,21,34,59,31
LOC114592501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCPKMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS2,1,13,21,22,0,25,3,3,7,0,0,12,2,0,10
LOC114591013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114592565,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
MAP4K5,1,0,0,1,1,2,0,0,3,2,2,0,1,0,1
ATL1,0,0,0,2,0,4,0,0,3,3,0,1,1,0,1
SAV1,1,0,2,2,0,2,4,4,0,0,0,3,1,0,0
NIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYGL,0,51,0,8,13,4,3,17,0,2,10,0,2,15,4
TRIM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDHD1,3,2,3,1,3,4,3,2,1,5,4,1,3,1,0
LOC114593954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERMT2,62,33,59,171,19,114,117,33,118,90,28,55,107,27,71
GNPNAT1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
STYX,75,47,63,44,51,18,30,53,24,24,78,19,48,19,19
PSMC6,30,25,42,19,10,27,19,8,32,17,12,14,14,14,20
ERO1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR137C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXNDC16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGER2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOC114585452,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
NID2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
RTRAF,4,1,0,2,2,2,6,2,3,3,1,1,1,0,2
GNG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRMD6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP4,1,0,3,0,0,2,1,0,1,1,3,0,0,1,1
CDKN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIH1,114,57,84,63,41,62,48,37,73,66,47,76,82,32,72
GMFB,1,9,3,1,2,0,0,4,5,3,3,0,0,3,1
CGRRF1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD4A,1,12,2,14,0,18,2,0,9,1,0,5,0,1,3
GCH1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
LOC114595773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK1IP1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLGAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO34,0,0,1,1,0,1,2,0,0,0,3,0,0,1,0
ATG14,0,1,0,2,1,1,0,0,1,0,0,1,1,0,1
TBPL2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR10,3,0,5,1,0,0,1,1,0,2,3,0,0,1,0
ARMH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAA30,34,67,172,71,36,107,44,34,78,29,36,38,59,25,65
AP5M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXOC5,117,143,245,180,52,131,99,39,89,72,64,53,69,48,86
LOC114597452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM260,1,1,0,4,0,1,2,1,0,1,3,0,1,1,0
PELI2,1,8,0,6,3,0,1,0,0,0,2,0,0,0,1
TRNAK-CUU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KTN1,100,23,575,125,63,393,108,38,254,90,129,154,64,42,244
PSMA3,285,93,90,122,62,96,146,68,98,140,90,37,123,75,46
ARID4A,34,51,52,94,34,38,54,36,30,71,81,33,59,41,44
TOMM20L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMM9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KIAA0586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114599356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114599439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAAM1,0,19,1,1,11,4,2,5,7,1,6,2,1,6,3
GPR135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3HYPDH,0,11,3,2,2,1,2,1,2,0,3,0,0,0,1
JKAMP,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0
LOC114599819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTN1,1,0,4,4,0,3,0,0,0,4,1,0,0,0,0
LOC114585496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC114585505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCNX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHRS7,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0
PPM1A,75,231,383,147,152,307,80,213,234,60,241,145,76,180,147
LOC114601272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1H14orf39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIX6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
SIX1,0,0,41,0,0,45,0,0,55,0,0,24,0,0,40
LOC114601813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIX4,0,0,6,0,0,3,0,0,7,0,0,0,0,0,1
MNAT1,17,6,28,18,10,20,19,10,36,18,9,29,12,9,21
TRMT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC38A6,1,14,0,1,1,0,0,3,0,0,1,1,0,0,0
LOC114602108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114602149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114602272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIF1A,13,7,6,40,8,5,20,5,1,24,10,3,32,28,0
SNAPC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114602553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RHOJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPHB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R5E,336,481,1095,643,233,606,342,194,442,411,338,325,382,185,509
LOC114603256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGPP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNE2,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0
ESR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTHFD1,0,39,0,0,8,0,0,7,0,0,9,0,0,15,0
TRNAI-GAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB1,2,3,0,3,10,3,3,6,10,6,7,2,3,0,2
HSPA2,34,23,139,74,7,62,20,8,60,60,18,29,26,4,32
PPP1R36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRF1,2,38,15,16,3,14,2,1,8,2,0,11,5,1,6
BTBD6,9,6,132,29,10,66,26,2,67,31,3,104,86,13,159
LOC114604960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAG2,3,8,5,15,0,7,4,0,12,1,0,4,10,0,14
GPR132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDCA4,3,20,10,27,20,7,9,24,3,8,18,4,9,7,10
LOC114605788,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
CLBA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114605910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSSL1,1,3,33,3,1,50,1,0,49,0,0,25,0,1,25
LOC114606160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIVA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKT1,1,2,1,1,1,1,1,0,1,1,2,0,0,1,0
ZBTB42,4,13,3,18,11,5,1,1,5,1,3,16,4,0,10
CEP170B,0,2,2,1,1,0,0,1,0,0,1,0,1,0,0
PLD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1H14orf180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF26A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPG,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TDRD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RD3L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R13B,122,18,12,225,14,3,150,3,4,131,6,3,142,8,1
ZFYVE21,25,70,7,22,75,7,38,69,5,32,120,16,24,53,5
XRCC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLC1,41,36,112,124,11,90,42,6,76,66,11,41,33,11,44
LOC114581815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAG5,3,3,1,1,1,0,1,2,2,1,2,1,0,0,0
LOC114581876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRMT61A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CKB,6,0,5,8,1,9,11,0,6,9,0,8,16,0,12
MARK3,62,86,126,89,48,76,58,37,88,63,94,43,47,34,58
EIF5,2436,2161,4390,2634,1042,2631,1334,1070,2757,1458,1448,1612,1246,926,1755
LOC114585863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNFAIP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXOC3L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBHD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC42BPB,114,111,50,206,47,37,90,64,43,77,67,29,92,71,40
LOC114583696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAF3,3,0,0,2,0,0,0,0,0,0,0,3,1,0,1
LOC114583844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCOR1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
LOC114585553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD9,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
TECPR2,0,0,0,0,3,0,0,2,5,0,0,0,0,1,1
CINP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRNAI-AAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WDR20,42,102,88,99,52,72,37,27,39,34,65,47,43,34,33
LOC114585252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP90AA1,92,27,496,231,57,377,89,19,262,96,74,140,142,119,242
LOC114585565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYNC1H1,32,60,71,135,15,58,53,15,55,60,17,40,48,13,41
PPP2R5C,111,86,146,287,39,68,129,25,53,156,60,46,99,21,75
DIO3,6,2,25,2,9,4,0,11,3,0,27,2,0,453,1
TRNAA-UGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEGAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARS,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0
SLC25A47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A29,3,4,0,30,19,5,32,26,1,4,32,3,16,22,4
YY1,437,579,557,631,454,482,386,421,447,305,661,206,336,688,239
DEGS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVL,240,17,43,359,5,34,299,2,24,253,8,17,227,10,28
LOC114587979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EML1,4,0,26,33,0,9,5,0,19,23,2,16,13,0,10
LOC114588283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114588390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHIPL1,1,0,3,0,1,7,5,0,0,2,0,8,0,1,3
CCDC85C,0,13,0,0,1,0,0,2,0,0,1,0,0,0,0
CCNK,11,20,11,15,5,13,6,9,6,13,7,5,9,8,11
SETD3,71,68,223,127,51,246,80,74,142,75,65,132,80,63,182
BCL11B,0,14,0,3,34,0,2,13,7,3,3,0,2,18,0
TRNAT-UGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VRK1,0,1,3,1,3,0,0,1,1,1,1,2,0,1,0
LOC114584852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAPOLA,410,1528,1062,775,609,624,427,472,417,549,822,342,478,499,403
AK7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSKIP,0,0,0,4,2,1,2,1,1,0,1,2,0,0,1
ATG2B,7,9,10,7,1,19,3,6,4,2,0,1,6,1,13
BDKRB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1H14orf132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLMN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LOC114590599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICER1,36,157,62,104,66,82,53,51,22,58,93,41,51,32,21
GSC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC114584879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114585608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114581407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERPINA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP4R4,7,0,2,25,0,4,30,0,1,28,0,2,11,0,0
DDX24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114596116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASB2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1
FAM181A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMA1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
UNC79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD7,29,8,7,41,11,17,21,8,7,12,17,8,15,9,10
UBR7,1,11,13,7,6,3,5,7,2,6,3,1,4,5,3
GON7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM251,2,0,9,1,1,0,2,1,1,0,0,1,1,1,1
ITPK1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
CHGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA5,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0
LGMN,0,8,0,1,0,0,1,1,0,0,1,2,0,1,1
RIN3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
LOC114590807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC24A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPSF2,36,35,41,75,28,33,35,21,33,40,27,20,39,5,23
NDUFB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATXN3,2,16,6,17,4,5,2,4,1,5,9,0,2,5,1
TRIP11,2,28,10,14,5,13,7,5,5,5,7,2,7,10,3
FBLN5,0,1,7,4,1,4,0,0,0,1,0,1,1,0,6
TC2N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114590919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114602030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP4R3A,142,509,344,319,221,188,149,170,129,170,219,107,198,150,173
CCDC88C,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
GPR68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGLUCY,0,1,0,3,4,2,0,1,0,1,0,1,0,2,0
RPS6KA5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TTC7B,106,19,27,56,24,16,79,8,20,68,43,21,64,15,23
CALM1,861,30,1684,383,21,942,476,33,585,448,42,761,339,25,827
LOC114591099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRDE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMC1,91,121,130,96,31,104,49,44,105,57,46,37,33,33,36
KCNK13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDP1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
EFCAB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXN3,81,312,114,107,191,40,66,102,29,45,170,21,37,155,64
TTC8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
EML5,41,11,16,17,11,24,9,7,10,13,4,8,7,3,8
LOC114591251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H14,6,1,5,9,4,10,4,1,6,2,0,1,3,2,3
PTPN21,0,6,21,16,1,27,3,3,16,4,0,15,6,0,3
SPATA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNK10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GPR65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRNAE-UUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALC,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
FLRT2,11,3,31,12,5,11,5,3,4,3,8,4,3,4,9
LOC114584920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114588306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEL1L,5,18,7,10,3,4,6,6,1,7,2,4,1,5,5
STON2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GTF2A1,81,84,149,96,83,108,61,45,98,65,94,44,38,49,88
TSHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP128,1,2,0,0,3,0,0,1,0,1,0,0,1,14,0
DIO2,0,5,0,0,0,0,1,1,0,0,0,0,2,5,1
LOC114591398,0,0,0,7,0,0,2,0,0,5,0,0,2,0,0
LOC114590994,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0
ADCK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNW1,151,149,198,209,78,115,112,81,77,101,99,50,112,90,85
SLIRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALKBH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTLC2,0,1,0,5,0,0,2,4,0,0,0,0,0,0,0
ISM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHSA1,1,2,2,0,1,1,0,0,1,3,0,1,1,0,2
VIPAS39,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SAMD15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOXRED1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSTZ1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
POMT2,0,2,0,0,2,0,0,2,3,0,1,0,0,0,0
NGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM63C,1,12,0,0,1,0,1,3,0,0,0,0,0,0,0
ZDHHC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRF2BPL,495,588,355,1312,310,174,871,267,94,690,288,105,773,136,292
SWI5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114584928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC74A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGEL1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
VASH1,8,49,19,19,8,7,13,15,7,13,9,2,14,7,11
ESRRB,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
GPATCH2L,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0
LOC114584939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFT43,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TGFB3,3,0,2,3,0,1,0,0,0,2,0,0,1,0,1
TTLL5,0,0,0,6,1,0,0,1,0,1,0,0,0,0,0
ERG28,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0
FLVCR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JDP2,49,12,6,9,11,5,22,21,16,29,26,5,27,26,24
LOC114591825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOS,0,0,8,7,3,4,4,1,17,4,3,13,28,21,66
TMED10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC114591843,2,0,2,0,0,1,0,0,1,2,0,1,0,0,0
